회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)CMG제약,58820,2017년 12월,1948086,-467123,171180,성장기업
(주)CMG제약,58820,2018년 12월,886779,8779219,0,판단불가
(주)CMG제약,58820,2019년 12월,2823387,-70595614,72877952,성장기업
(주)CMG제약,58820,2020년 12월,2944289,-13008899,-461469,우량기업
(주)CMG제약,58820,2021년 12월,5628620,-8480048,-483840,우량기업
(주)ES큐브,50120,2017년 12월,3989913,-9285270,-1313460,우량기업
(주)ES큐브,50120,2018년 12월,116879,-9930672,6704278,성장기업
(주)ES큐브,50120,2019년 12월,1886276,-42892183,35797321,성장기업
(주)ES큐브,50120,2020년 12월,-312007,21184752,-33200382,정리기업
(주)ES큐브,50120,2021년 12월,3015063,340546,-975531,성숙기업
(주)가비아,79940,2017년 12월,8670614,-6515005,-391060,우량기업
(주)가비아,79940,2018년 12월,9241321,-8098967,608940,성장기업
(주)가비아,79940,2019년 12월,13243609,-13094318,-2465787,우량기업
(주)가비아,79940,2020년 12월,16302314,-20145173,5969932,성장기업
(주)가비아,79940,2021년 12월,13962996,-15858537,-4339454,우량기업
(주)강스템바이오텍,217730,2017년 12월,-10267751,5871865,5753187,부실기업
(주)강스템바이오텍,217730,2018년 12월,-11298071,-25397225,35740905,스타트업
(주)강스템바이오텍,217730,2019년 12월,-11097344,-33356662,47081570,스타트업
(주)강스템바이오텍,217730,2020년 12월,-16124997,31237930,-13029409,정리기업
(주)강스템바이오텍,217730,2021년 12월,-16455808,-23752408,39851753,스타트업
(주)강원에너지,114190,2017년 12월,-4605588,484043,4943754,부실기업
(주)강원에너지,114190,2018년 12월,-10047711,-2019808,17827827,스타트업
(주)강원에너지,114190,2019년 12월,7013798,-14691822,-8116985,우량기업
(주)강원에너지,114190,2020년 12월,-4228563,15906301,-6197538,정리기업
(주)강원에너지,114190,2021년 12월,-4492533,-757120,3127993,스타트업
(주)고려시멘트,198440,2017년 12월,3161867,-14608429,8857140,성장기업
(주)고려시멘트,198440,2018년 12월,1728759,-9952075,8505781,성장기업
(주)고려시멘트,198440,2019년 12월,2862239,3351444,-2730727,성숙기업
(주)고려시멘트,198440,2020년 12월,7962781,8445229,-12602154,성숙기업
(주)고려시멘트,198440,2021년 12월,13352545,-18200161,-537689,우량기업
(주)고바이오랩,348150,2020년 12월,-9402492,17858425,31045037,부실기업
(주)고바이오랩,348150,2021년 12월,-5186956,-39158680,55741177,스타트업
(주)고영테크놀러지,98460,2017년 12월,7492877,5318936,-22001824,성숙기업
(주)고영테크놀러지,98460,2018년 12월,44999013,-72061061,26904466,성장기업
(주)고영테크놀러지,98460,2019년 12월,26124765,-6674843,-16157867,우량기업
(주)고영테크놀러지,98460,2020년 12월,37199067,-7325632,-12072566,우량기업
(주)고영테크놀러지,98460,2021년 12월,43040625,-13537228,-5830531,우량기업
(주)골드앤에스,35290,2017년 12월,-940910,-5268662,7871374,스타트업
(주)골드앤에스,35290,2018년 12월,-2810496,-12992586,28913273,스타트업
(주)골드앤에스,35290,2019년 12월,-6246635,-4973680,-3273255,쇠퇴기업
(주)골드앤에스,35290,2020년 12월,-498313,913873,6671045,부실기업
(주)골드앤에스,35290,2021년 12월,2035559,-5392461,-423594,우량기업
(주)골드퍼시픽,38530,2017년 12월,-878680,-10288331,13916056,스타트업
(주)골드퍼시픽,38530,2018년 12월,-2028216,-8720801,16714823,스타트업
(주)골드퍼시픽,38530,2019년 12월,-3541143,-54745086,52062469,스타트업
(주)골드퍼시픽,38530,2020년 12월,3314523,13435702,-2152471,성숙기업
(주)골드퍼시픽,38530,2021년 12월,-1119507,-7596897,30907035,스타트업
(주)골프존,215000,2017년 12월,79436410,10630625,-12535982,성숙기업
(주)골프존,215000,2018년 12월,34481459,-53326757,-28387248,우량기업
(주)골프존,215000,2019년 12월,38567865,-48182499,-34659378,우량기업
(주)골프존,215000,2020년 12월,84563964,-52159518,-24499223,우량기업
(주)골프존,215000,2021년 12월,125602419,-80053203,-28426816,우량기업
