기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용,유동비율,당좌비율,부채비율,차입금의존도,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)CMG제약,58820,2017,109568153,11624134,97944019,41535588,18038036,1558607,2834901,81227330,10884321,73322813,7904518,16768648,7002289,0,0,0,16182518,0,0,746.2783393,673.6553709,11.86814072,0,43.42790573,3.752461624,6.825233821,2.58734032,,,,,,,,1948086,-467123,171180,성장기업
(주)CMG제약,58820,2018,114379880,10398033,103981846,49864782,22739941,2567820,6065026,81370415,8495060,72797832,8572582,19030822,4162722,0,0,0,17268535,0,0,957.8556832,856.9431175,9.999854205,0,45.6032095,5.149566281,12.16294498,5.302528731,6.007180903,2.785783253,0.445324581,16.70356044,39.30232649,6.288993247,4.206794936,886779,8779219,0,판단불가
(주)CMG제약,58820,2019,192243166,12084883,180158283,58622681,28922631,2603774,3051177,150584066,9306387,141535132,9048933,21676515,4328437,0,0,0,24119403,0,0,1618.072255,1520.838667,6.707925275,0,49.33692985,4.441581237,5.204772194,1.587144585,2.147656518,2.88020221,0.382376222,14.93943786,1.380841809,28.40397003,40.5024988,2823387,-70595614,72877952,성장기업
(주)CMG제약,58820,2020,195355583,14224578,181131004,64459891,31210452,1822365,214996,145981120,13648964,130934186,15046934,20439596,5590817,0,0,0,29740814,0,,1069.53993,959.2976141,7.853198892,0,48.41840642,2.82713013,0.333534539,0.110053676,0.119015984,3.061056183,0.33261145,9.055569145,-42.87884151,18.90133538,1.593206067,2944289,-13008899,-461469,우량기업
(주)CMG제약,58820,2021,199174593,14472099,184702494,69475496,33450645,1660476,3165485,125482013,13728982,112286476,13195537,20942021,5037770,0,0,0,30516184,0,,913.9935721,817.8791115,7.835356571,0,48.14740006,2.390016762,4.556261102,1.589301603,1.730560497,3.357795129,0.352193572,7.21924317,-9.749553742,2.540848489,1.917418252,5628620,-8480048,-483840,우량기업
(주)ES큐브,50120,2017,105892131,33075251,72816880,35745794,9687855,2248520,1737925,51038158,3702478,42691587,8346570,3886201,1232866,0,27400000,0,11623688,0,0,1378.486462,1153.054441,45.42250506,27400000,27.10208367,6.29030649,4.861900676,1.641222047,1.349743107,2.879448557,0.234347382,-94.35991826,26.15249142,-162.5344383,-88.09196785,3989913,-9285270,-1313460,우량기업
(주)ES큐브,50120,2018,112430896,41682289,70748607,33763508,7727451,-1211129,-6121462,45061626,37613190,35824746,9236879,4655667,907478,0,2100000,0,15202081,0,0,119.8027235,95.24516798,58.91605611,2100000,22.88699089,-3.587094682,-18.13040872,-5.44464397,-8.527762665,7.905415537,0.309298643,-5.871090172,285.6548724,23.53883656,5.815807961,116879,-9930672,6704278,성장기업
(주)ES큐브,50120,2019,463958680,389920168,74038512,43708239,8197448,-2617071,-13767748,359030693,230135454,351382660,7648032,212246240,1002412,2726000,24900000,0,17333381,0,6734172,156.0084232,152.6851486,526.6450628,27626000,18.75492627,-5.98759195,-31.49920545,-2.967451326,-19.0179183,0.403023096,0.151662142,22.75253185,53.72196627,12.29592772,75.76704546,1886276,-42892183,35797321,성장기업
(주)ES큐브,50120,2020,714889745,645391926,69497819,80672425,24142051,10315988,-25292140,322209018,523911459,312793766,9415254,221493392,3558099,0,0,0,29329873,0,27903983,61.50066246,59.70355499,928.6506185,0,29.92602615,12.78750205,-31.35165455,-3.537907793,-35.24144699,0.371985491,0.136866493,45.82010024,125.3690776,40.90195685,35.10066647,-312007,21184752,-33200382,정리기업
(주)ES큐브,50120,2021,1082732056,966876862,115855194,125787293,15286278,283187,5375801,211621456,24252634,198238481,13382975,5473681,4632866,1500000,0,0,33186069,0,72762688,872.5710205,817.3894885,834.5563359,1500000,12.15248189,0.225131643,4.27372342,0.496503357,5.800608162,1.108418867,0.139948562,35.86599801,-3542.81835,11.61992401,33.97353103,3015063,340546,-975531,성숙기업
(주)가비아,79940,2017,133382584,33486064,99896520,116217941,55904577,12712157,9669613,66113388,29400833,64437924,1675464,19164658,7351096,2400000,1700000,0,45452326,0,0,224.8690981,219.1704024,33.52075127,4100000,48.10322444,10.93820532,8.320241192,7.249531918,8.963648836,9.433910378,0.19112991,-8.23397138,97.77231354,26.98708313,-711.7491981,8670614,-6515005,-391060,우량기업
(주)가비아,79940,2018,151440505,37253015,114187490,128728438,62977071,18188449,15340647,78058272,29792809,76075978,1982294,20324111,3929911,8214600,3315000,0,49107084,0,0,262.0037339,255.350135,32.6244276,11529600,48.92242303,14.12931694,11.9170614,10.12981765,14.33142718,6.519749349,0.903918558,9.718518452,30.10862553,7.442425211,11.92410247,9241321,-8098967,608940,성장기업
(주)가비아,79940,2019,199916131,64956993,134959139,148306878,72656494,23736596,21102390,86880807,43098923,84237203,2643604,25159207,4480341,6645286,11463170,0,85359914,0,0,201.5846359,195.4508306,48.13085907,18108456,48.99064358,16.00505406,14.22886806,10.55562145,16.93973552,6.521374628,0.844195685,13.20130277,23.37381063,42.47055591,24.24798127,13243609,-13094318,-2465787,우량기업
(주)가비아,79940,2020,260025259,86821629,173203629,169044955,83163471,28545232,23751739,123738031,50679127,120677745,3060285,21434822,5617099,8600000,27643852,0,105175837,0,0,244.1597524,238.1211993,50.12691102,36243852,49.19606799,16.886178,14.0505459,9.134396824,15.41506078,7.256078027,0.735071723,12.26778818,16.84567146,18.84075617,23.1166496,16302314,-20145173,5969932,성장기업
