기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,유동비율,당좌비율,부채비율,차입금의존도,이자보상배율,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율
(주)CMG제약,58820,2017,109568153,11624134,97944019,41535588,18038036,1558607,2834901,81227330,10884321,73322813,7904518,16768648,7002289,0,0,0,16182518,0,746.2783393,673.6553709,11.86814072,0,inf,43.42790573,3.752461624,6.825233821,2.58734032,,,,,,,
(주)CMG제약,58820,2018,114379880,10398033,103981846,49864782,22739941,2567820,6065026,81370415,8495060,72797832,8572582,19030822,4162722,0,0,0,17268535,0,957.8556832,856.9431175,9.999854205,0,inf,45.6032095,5.149566281,12.16294498,5.302528731,6.007180903,2.785783253,0.445324581,16.70356044,39.30232649,6.288993247,4.206794936
(주)CMG제약,58820,2019,192243166,12084883,180158283,58622681,28922631,2603774,3051177,150584066,9306387,141535132,9048933,21676515,4328437,0,0,0,24119403,0,1618.072255,1520.838667,6.707925275,0,inf,49.33692985,4.441581237,5.204772194,1.587144585,2.147656518,2.88020221,0.382376222,14.93943786,1.380841809,28.40397003,40.5024988
(주)CMG제약,58820,2020,195355583,14224578,181131004,64459891,31210452,1822365,214996,145981120,13648964,130934186,15046934,20439596,5590817,0,0,0,29740814,0,1069.53993,959.2976141,7.853198892,0,inf,48.41840642,2.82713013,0.333534539,0.110053676,0.119015984,3.061056183,0.33261145,9.055569145,-42.87884151,18.90133538,1.593206067
(주)CMG제약,58820,2021,199174593,14472099,184702494,69475496,33450645,1660476,3165485,125482013,13728982,112286476,13195537,20942021,5037770,0,0,0,30516184,0,913.9935721,817.8791115,7.835356571,0,inf,48.14740006,2.390016762,4.556261102,1.589301603,1.730560497,3.357795129,0.352193572,7.21924317,-9.749553742,2.540848489,1.917418252
(주)ES큐브,50120,2017,104850192,33451725,71398467,37104908,6607652,2170102,1218923,44761949,4085637,44353678,408271,2573314,2416818,0,27400000,0,7506218,0,1095.592903,1085.600067,46.85216141,27400000,inf,17.80802691,5.848557824,3.285072153,1.16253769,0.951908181,3.15580518,0.244091336,-87.24071759,23.48396527,-306.5454001,-89.96111423
(주)ES큐브,50120,2018,108481764,41963133,66518631,31308873,5615038,691469,-3836071,29054833,37696219,28494462,560371,3016721,2520376,0,2100000,0,10880733,0,77.07625266,75.58970835,63.08478147,2100000,inf,17.93433446,2.208540052,-12.25234457,-3.536143642,-5.562865019,11.20167333,0.293522579,-18.51243576,-213.8393767,31.01367344,3.347633617
(주)ES큐브,50120,2019,136065488,82079157,53986331,28527284,5818867,587700,-12738710,24298462,54789915,23829853,468610,2610301,4247225,0,24900000,0,10576512,0,44.34842069,43.49313738,152.0369239,24900000,inf,20.39754994,2.060133029,-44.65447885,-9.362190359,-21.14221653,10.13938954,0.233306928,-9.750626803,-17.65679769,-2.876383065,20.27238825
(주)ES큐브,50120,2020,81995388,9045774,72949614,30293088,6096177,1452732,-29081429,7524373,8346341,6883724,640650,2051647,4115710,0,0,0,553920,0,90.15175632,82.47594964,12.40002997,0,inf,20.1239867,4.795589014,-96.00021299,-35.46715213,-45.82063654,12.9958927,0.277840652,5.829065693,59.54518796,-1809.393414,-65.94285522
(주)ES큐브,50120,2021,76172807,10875187,65297621,41105787,7492339,2340435,5694998,11457013,9871135,11457013,0,3628391,6572037,1500000,0,0,874517,0,116.0658121,116.0658121,16.65479819,1500000,inf,18.22696887,5.693687363,13.85449207,7.476418717,8.238859895,14.47377183,0.519773106,26.30456631,37.92897474,36.6598934,-7.643910247
