회사,amount,년도,2017,2018,2019,2020,2021
회사명,거래소코드,항목,amount,amount,amount,amount,amount
에스엠로보틱스(주),252940,자산(*)(천원),404193,,,,
(주)시냅스엠,246830,자산(*)(천원),1249014,,,,
(주)유디피,91270,자산(*)(천원),1628840,,,,
(주)뷰노,338220,자산(*)(천원),2153892,11853750,7452661,9587094,35756682
케어룸의료산업(주),327970,자산(*)(천원),2276629,3787783,6349688,12468140,
(주)딥노이드,315640,자산(*)(천원),2758092,7253877,5832858,11314695,18590794
(주)피엠디아카데미,144740,자산(*)(천원),2771791,,,,
(주)지놈앤컴퍼니,314130,자산(*)(천원),2896296,12776840,35144650,117277387,95756036
이오플로우(주),294090,자산(*)(천원),2982390,9352698,9838132,28874805,60120796
(주)씨이랩,189330,자산(*)(천원),3384924,5108338,6171828,11861324,31357987
(주)압타머사이언스,291650,자산(*)(천원),3551224,10988751,8320868,36933073,33261594
(주)영현무역,242850,자산(*)(천원),3781667,4055681,,,
(주)인프라웨어테크놀러지,247300,자산(*)(천원),3902537,5781248,,,
(주)구스앤홈,329050,자산(*)(천원),3948504,5277042,6240318,3229352,
전진바이오팜(주),110020,자산(*)(천원),4057419,7119943,6411002,18694961,24817215
(주)알로이스,271400,자산(*)(천원),4071362,9940354,,,
(주)이노테라피,246960,자산(*)(천원),4203938,11163004,17058999,17166780,31673793
(주)제놀루션,225220,자산(*)(천원),4705283,11124365,13428301,83773905,94941433
에브리봇(주),270660,자산(*)(천원),5546712,10592658,12392989,30631118,75646787
(주)마이크로디지탈,305090,자산(*)(천원),5605457,11704260,23210224,20788837,35236467
에스에이치엔엘(주),50320,자산(*)(천원),5884476,9588686,4888567,13909449,11101736
(주)플리토,300080,자산(*)(천원),6160551,3884971,26332370,24697143,28424144
(주)싸이토젠,217330,자산(*)(천원),6161511,22752889,19716116,28310535,55527740
(주)제이엘케이,322510,자산(*)(천원),6268947,9423021,38878318,46814839,40841579
(주)아이패밀리에스씨,114840,자산(*)(천원),6292700,9044332,15177684,30201839,52974588
에스씨엠생명과학(주),298060,자산(*)(천원),6439603,43856695,41036918,76292016,54044747
(주)유쎌,252370,자산(*)(천원),7001304,9367986,,,
(주)젠큐릭스,229000,자산(*)(천원),7183440,10143232,2387519,62031152,55021017
바이오플러스(주),99430,자산(*)(천원),7233594,14070728,21684779,38742630,86681153
(주)바이오솔루션,86820,자산(*)(천원),7377803,52865195,51807476,49798246,94403952
(주)카이노스메드,220250,자산(*)(천원),7587366,8189385,5498347,,
(주)제이웨이,58420,자산(*)(천원),7708973,13796008,14038963,8681630,1618862
에이비온(주),203400,자산(*)(천원),8353021,7899051,9209115,12341256,44516375
(주)셀리버리,268600,자산(*)(천원),8432679,39972066,30858307,60516058,116451138
(주)서남,294630,자산(*)(천원),8500245,10672729,10526328,16037613,21664228
(주)드림티엔터테인먼트,220110,자산(*)(천원),8743920,6099926,2604721,,
