회사명,거래소코드
(주)구스앤홈,329050
(주)극동자동화,272420
(주)금빛,45890
(주)금오하이텍,165270
(주)넥스지,81970
(주)녹십자셀,31390
(주)다린,204690
(주)대원모방,311840
(주)더블유게임즈,192080
(주)데코앤이,17680
(주)드림티엔터테인먼트,220110
(주)디피앤케이,189700
(주)맥스로텍,141070
(주)모다,149940
(주)미래SCI,28040
(주)미래자원엠엘,233190
(주)미래테크놀로지,213090
(주)미애부,225850
(주)바이오빌,65940
(주)비앤에스미디어,156170
(주)비엔씨컴퍼니,58370
(주)비엔에프코퍼레이션,271780
(주)세기리텍,199870
(주)셀트리온,68270
(주)스틸플라워,87220
(주)스페이스솔루션,245030
(주)스포츠서울,39670
(주)시냅스엠,246830
(주)신양오라컴디스플레이,86830
(주)심팩메탈,90730
(주)썬코어,51170
(주)썬테크놀로지스,122800
(주)씨그널엔터테인먼트그룹,99830
(주)씨앤에스자산관리,32040
(주)씨엠에스에듀,225330
(주)씨티네트웍스,189540
(주)아이엠텍,226350
(주)에스마크,30270
(주)에스에스컴텍,36500
(주)에스에프씨,112240
(주)에스와이이노베이션,194860
(주)에스와이제이,251540
(주)에스제이케이,80440
(주)에이치디,102210
(주)에이팸,73070
(주)에임하이글로벌,43580
(주)에프티이앤이,65160
(주)엔에스브이,95300
(주)엘피케이로보틱스,183350
(주)엠씨넥스,97520
(주)엠앤씨생명과학,225860
(주)영현무역,242850
(주)우성아이비,194610
(주)우전,52270
(주)원익테라세미콘,123100
(주)위너지스,26260
(주)위노바,39790
(주)유디피,91270
(주)유쎌,252370
(주)이매진아시아,36260
(주)이십일스토어,270020
(주)이엠네트웍스,87730
(주)인터파크,108790
(주)인프라웨어테크놀러지,247300
(주)전우정밀,120780
(주)제낙스,65620
(주)제이에스피브이,250300
(주)제이콘텐트리,36420
(주)제이테크놀로지,35480
(주)주노콜렉션,221670
(주)지디,155960
(주)지성이씨에스,138290
(주)지에스홈쇼핑,28150
(주)지유온,111820
(주)카카오,35720
(주)카카오엠,16170
(주)캐로스,260490
(주)케미메디,205290
(주)케이엔씨글로벌,68150
(주)코너스톤네트웍스,33110
(주)쿠첸,225650
(주)태경피엔에스,235090
(주)트레이스,52290
(주)티씨엠생명과학,228180
(주)파인넥스,123260
(주)파티게임즈,194510
(주)팍스넷,38160
(주)포스코케미칼,3670
(주)폭스소프트,354230
(주)퓨전,195440
(주)프리젠,60910
(주)피앤텔,54340
(주)피엠디아카데미,144740
(주)하림홀딩스,24660
(주)한국아트라스비엑스,23890
(주)한진피앤씨,61460
(주)한컴지엠디,77280
(주)한프,66110
(주)행남사,8800
(주)화신테크,86250
(주)화진,134780
골든브릿지제2호기업인수목적(주),206660
골든브릿지제3호기업인수목적(주),219580
교보5호기업인수목적(주),223040
넥슨지티(주),41140
다이노나(주),86080
대신밸런스제4호기업인수목적(주),262830
대우기업인수목적2호(주),204440
대우기업인수목적3호(주),215580
동부제4호기업인수목적(주),230490
디에스티(주),33430
럭슬(주),33600
레이젠(주),47440
미래에셋대우기업인수목적1호(주),265480
미래에셋제3호기업인수목적(주),215750
상상인이안제2호기업인수목적(주),329560
세신버팔로(주),110660
세종머티리얼즈(주),135270
신한제3호기업인수목적(주),257730
신한제4호기업인수목적(주),277480
씨제이이앤엠(주),130960
아스팩오일(주),232360
아이비케이에스제7호기업인수목적(주),276920
아이이(주),23430
에스앤씨엔진그룹리미티드,900080
에스엠로보틱스(주),252940
에스지에이시스템즈(주),232290
에스지에이클라우드서비스(주),224880
에스케이 머티리얼즈(주),36490
에스케이씨솔믹스(주),57500
에스케이에이씨피씨제4호기업인수목적(주),307070
에스케이제1호기업인수목적(주),207930
에스케이제3호기업인수목적(주),232330
에스케이커뮤니케이션즈(주),66270
에이아이비트(주),39230
엔에이치기업인수목적13호(주),310840
엔에이치기업인수목적7호 주식회사,217810
엔에이치에스엘기업인수목적(주),207720
완리인터내셔널홀딩스,900180
웨이포트유한공사,900130
유안타제2호기업인수목적(주),219960
유안타제4호기업인수목적(주),313750
유진기업인수목적3호(주),221200
이베스트기업인수목적3호(주),225440
이베스트이안기업인수목적1호(주),323210
이에스산업(주),241510
이엘케이(주),94190
자안바이오(주),221610
지스마트글로벌(주),114570
차이나그레이트스타인터내셔널리미티드,900040
차이나하오란리사이클링유한공사,900090
케어룸의료산업(주),327970
케이맥(주),43290
케이비드림투게더제3호기업인수목적(주),221950
케이비제17호기업인수목적(주),317030
케이비제18호기업인수목적(주),323940
케이비제8호기업인수목적(주),222390
케이비제9호기업인수목적(주),232270
케이티비기업인수목적1호(주),204650
키움제3호기업인수목적(주),218710
키움제4호기업인수목적(주),226850
키움제5호기업인수목적(주),311270
피아이첨단소재(주),178920
하나머스트3호기업인수목적(주),208870
하나머스트제6호기업인수목적(주),307160
하이에이아이1호기업인수목적(주),235010
한국제4호기업인수목적(주),240540
한국제5호기업인수목적(주),271740
한국제6호기업인수목적(주),281410
한국제7호기업인수목적(주),291210
한솔신텍(주),99660
한주금속(주),198940
한화수성기업인수목적(주),265920
한화에스비아이기업인수목적(주),317320
한화에이스기업인수목적2호(주),219860
한화에이스기업인수목적3호(주),264290
한화에이스기업인수목적4호(주),279410
현대에이블기업인수목적1호(주),204760
현대정보기술(주),26180
현진소재(주),53660
