회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)CMG제약,58820,2017년 12월,1948086.0,-467123.0,171180.0,성장기업
(주)CMG제약,58820,2018년 12월,886779.0,8779219.0,0.0,판단불가
(주)CMG제약,58820,2019년 12월,2823387.0,-70595614.0,72877952.0,성장기업
(주)CMG제약,58820,2020년 12월,2944289.0,-13008899.0,-461469.0,우량기업
(주)CMG제약,58820,2021년 12월,5628620.0,-8480048.0,-483840.0,우량기업
(주)ES큐브,50120,2017년 12월,3989913.0,-9285270.0,-1313460.0,우량기업
(주)ES큐브,50120,2018년 12월,116879.0,-9930672.0,6704278.0,성장기업
(주)ES큐브,50120,2019년 12월,1886276.0,-42892183.0,35797321.0,성장기업
(주)ES큐브,50120,2020년 12월,-312007.0,21184752.0,-33200382.0,정리기업
(주)ES큐브,50120,2021년 12월,3015063.0,340546.0,-975531.0,성숙기업
(주)가비아,79940,2017년 12월,8670614.0,-6515005.0,-391060.0,우량기업
(주)가비아,79940,2018년 12월,9241321.0,-8098967.0,608940.0,성장기업
(주)가비아,79940,2019년 12월,13243609.0,-13094318.0,-2465787.0,우량기업
(주)가비아,79940,2020년 12월,16302314.0,-20145173.0,5969932.0,성장기업
(주)가비아,79940,2021년 12월,13962996.0,-15858537.0,-4339454.0,우량기업
(주)강스템바이오텍,217730,2017년 12월,-10267751.0,5871865.0,5753187.0,부실기업
(주)강스템바이오텍,217730,2018년 12월,-11298071.0,-25397225.0,35740905.0,스타트업
(주)강스템바이오텍,217730,2019년 12월,-11097344.0,-33356662.0,47081570.0,스타트업
(주)강스템바이오텍,217730,2020년 12월,-16124997.0,31237930.0,-13029409.0,정리기업
(주)강스템바이오텍,217730,2021년 12월,-16455808.0,-23752408.0,39851753.0,스타트업
(주)강원에너지,114190,2017년 12월,-4605588.0,484043.0,4943754.0,부실기업
(주)강원에너지,114190,2018년 12월,-10047711.0,-2019808.0,17827827.0,스타트업
(주)강원에너지,114190,2019년 12월,7013798.0,-14691822.0,-8116985.0,우량기업
(주)강원에너지,114190,2020년 12월,-4228563.0,15906301.0,-6197538.0,정리기업
(주)강원에너지,114190,2021년 12월,-4492533.0,-757120.0,3127993.0,스타트업
(주)고려시멘트,198440,2017년 12월,3161867.0,-14608429.0,8857140.0,성장기업
(주)고려시멘트,198440,2018년 12월,1728759.0,-9952075.0,8505781.0,성장기업
(주)고려시멘트,198440,2019년 12월,2862239.0,3351444.0,-2730727.0,성숙기업
(주)고려시멘트,198440,2020년 12월,7962781.0,8445229.0,-12602154.0,성숙기업
(주)고려시멘트,198440,2021년 12월,13352545.0,-18200161.0,-537689.0,우량기업
(주)고바이오랩,348150,2020년 12월,-9402492.0,17858425.0,31045037.0,부실기업
(주)고바이오랩,348150,2021년 12월,-5186956.0,-39158680.0,55741177.0,스타트업
(주)고영테크놀러지,98460,2017년 12월,7492877.0,5318936.0,-22001824.0,성숙기업
(주)고영테크놀러지,98460,2018년 12월,44999013.0,-72061061.0,26904466.0,성장기업
(주)고영테크놀러지,98460,2019년 12월,26124765.0,-6674843.0,-16157867.0,우량기업
(주)고영테크놀러지,98460,2020년 12월,37199067.0,-7325632.0,-12072566.0,우량기업
(주)고영테크놀러지,98460,2021년 12월,43040625.0,-13537228.0,-5830531.0,우량기업
(주)골드앤에스,35290,2017년 12월,-940910.0,-5268662.0,7871374.0,스타트업
(주)골드앤에스,35290,2018년 12월,-2810496.0,-12992586.0,28913273.0,스타트업
(주)골드앤에스,35290,2019년 12월,-6246635.0,-4973680.0,-3273255.0,쇠퇴기업
(주)골드앤에스,35290,2020년 12월,-498313.0,913873.0,6671045.0,부실기업
(주)골드앤에스,35290,2021년 12월,2035559.0,-5392461.0,-423594.0,우량기업
(주)골드퍼시픽,38530,2017년 12월,-878680.0,-10288331.0,13916056.0,스타트업
(주)골드퍼시픽,38530,2018년 12월,-2028216.0,-8720801.0,16714823.0,스타트업
(주)골드퍼시픽,38530,2019년 12월,-3541143.0,-54745086.0,52062469.0,스타트업
(주)골드퍼시픽,38530,2020년 12월,3314523.0,13435702.0,-2152471.0,성숙기업
(주)골드퍼시픽,38530,2021년 12월,-1119507.0,-7596897.0,30907035.0,스타트업
(주)골프존,215000,2017년 12월,79436410.0,10630625.0,-12535982.0,성숙기업
(주)골프존,215000,2018년 12월,34481459.0,-53326757.0,-28387248.0,우량기업
(주)골프존,215000,2019년 12월,38567865.0,-48182499.0,-34659378.0,우량기업
(주)골프존,215000,2020년 12월,84563964.0,-52159518.0,-24499223.0,우량기업
(주)골프존,215000,2021년 12월,125602419.0,-80053203.0,-28426816.0,우량기업
(주)골프존뉴딘홀딩스,121440,2017년 12월,-1147880.0,21294649.0,-2702827.0,정리기업
(주)골프존뉴딘홀딩스,121440,2018년 12월,-4416464.0,-22304789.0,4997173.0,스타트업
(주)골프존뉴딘홀딩스,121440,2019년 12월,2640435.0,3095111.0,-885975.0,성숙기업
(주)골프존뉴딘홀딩스,121440,2020년 12월,5223949.0,3173544.0,-8081166.0,성숙기업
(주)골프존뉴딘홀딩스,121440,2021년 12월,6789765.0,-2516781.0,-5011417.0,우량기업
(주)공구우먼,366030,1905년 7월,,,,판단불가
(주)광림,14200,2018년 12월,1251490.0,-1944893.0,-1338761.0,우량기업
(주)광림,14200,2019년 12월,639491.0,-37280398.0,44087905.0,성장기업
(주)광림,14200,2020년 12월,18881193.0,15498030.0,-24143306.0,성숙기업
(주)광림,14200,2021년 12월,5421907.0,-10092975.0,13972898.0,성장기업
(주)광림,14200,2017년 12월,8658598.0,-12037167.0,-4919376.0,우량기업
(주)광무,29480,2018년 12월,-889612.0,-1332045.0,1642228.0,스타트업
(주)광무,29480,2019년 12월,-2567529.0,-18999421.0,35185574.0,스타트업
(주)광무,29480,2020년 12월,-1654541.0,4203856.0,-9578044.0,정리기업
(주)광무,29480,2021년 12월,-697351.0,-4043945.0,62678016.0,스타트업
(주)광무,29480,2017년 12월,247467.0,-7185601.0,2533297.0,성장기업
(주)구스앤홈,329050,2020년 12월,65746.0,-137583.0,88167.0,성장기업
(주)구스앤홈,329050,2019년 12월,-3291255.0,-1785604.0,4751586.0,스타트업
(주)구영테크,53270,2018년 12월,-2316059.0,-14236839.0,8738342.0,스타트업
(주)구영테크,53270,2017년 12월,3339453.0,-21760013.0,23844022.0,성장기업
(주)구영테크,53270,2020년 12월,8014471.0,-9316325.0,5459067.0,성장기업
(주)구영테크,53270,2021년 12월,8874095.0,-8015307.0,918725.0,성장기업
(주)구영테크,53270,2019년 12월,9760503.0,-5659531.0,-3377680.0,우량기업
(주)국보디자인,66620,2018년 12월,198822.0,-6824210.0,-4401892.0,우량기업
(주)국보디자인,66620,2019년 12월,5796396.0,-9008695.0,-2891314.0,우량기업
(주)국보디자인,66620,2020년 12월,30754297.0,-6250210.0,-5298568.0,우량기업
(주)국보디자인,66620,2021년 12월,15506474.0,-19971037.0,-2495328.0,우량기업
(주)국보디자인,66620,2017년 12월,19976906.0,-3705288.0,-1825983.0,우량기업
(주)국순당,43650,2018년 12월,15817595.0,-23419217.0,-2997001.0,우량기업
(주)국순당,43650,2019년 12월,-3808205.0,17963082.0,-7721992.0,정리기업
(주)국순당,43650,2017년 12월,18084724.0,-3908307.0,-881446.0,우량기업
(주)국순당,43650,2021년 12월,9260002.0,-8850731.0,-2882111.0,우량기업
(주)국순당,43650,2020년 12월,12385565.0,-2606887.0,-5589256.0,우량기업
(주)국영지앤엠,6050,2017년 12월,239246.0,-3251231.0,155044.0,성장기업
(주)국영지앤엠,6050,2018년 12월,5051582.0,-329312.0,-2408429.0,우량기업
(주)국영지앤엠,6050,2020년 12월,5497526.0,-1615345.0,3453467.0,성장기업
(주)국영지앤엠,6050,2021년 12월,-1777762.0,-1323899.0,-149400.0,쇠퇴기업
(주)국영지앤엠,6050,2019년 12월,-2377260.0,-396408.0,2640900.0,스타트업
(주)국전약품,307750,2019년 12월,,,,판단불가
(주)국전약품,307750,2020년 12월,9459523.0,-5133454.0,-5597319.0,우량기업
(주)국전약품,307750,2021년 12월,3042065.0,-32578612.0,38856196.0,성장기업
(주)국전약품,307750,2018년 12월,,,,판단불가
(주)그래디언트,35080,2018년 12월,5564172.0,2772568.0,-7422679.0,성숙기업
(주)그래디언트,35080,2019년 12월,5968487.0,1879505.0,-8752477.0,성숙기업
(주)그래디언트,35080,2020년 12월,-8607119.0,39398548.0,-17278117.0,정리기업
(주)그래디언트,35080,2021년 12월,22962521.0,-26961956.0,8915221.0,성장기업
(주)그래디언트,35080,2017년 12월,7851585.0,-1423754.0,-6422406.0,우량기업
(주)그리티,204020,2019년 12월,-1030107.0,4865664.0,-3628206.0,정리기업
(주)그리티,204020,2020년 12월,2620054.0,6557613.0,-9101161.0,성숙기업
(주)그리티,204020,2021년 12월,-3860166.0,6761358.0,-2630043.0,정리기업
(주)그리티,204020,2018년 12월,6716028.0,-24763196.0,17576095.0,성장기업
(주)그린플러스,186230,2020년 12월,5821354.0,-9740044.0,9706402.0,성장기업
(주)그린플러스,186230,2021년 12월,752488.0,-5041351.0,15717650.0,성장기업
(주)그린플러스,186230,2019년 12월,-574078.0,-1466296.0,5966552.0,스타트업
(주)극동자동화,272420,2017년 12월,-2129178.0,882393.0,-943619.0,정리기업
(주)글로벌스탠다드테크놀로지,83450,2018년 12월,5219548.0,-8950470.0,-2579280.0,우량기업
(주)글로벌스탠다드테크놀로지,83450,2019년 12월,15029673.0,-5336020.0,-215490.0,우량기업
(주)글로벌스탠다드테크놀로지,83450,2020년 12월,19063786.0,-5041933.0,-3776685.0,우량기업
(주)글로벌스탠다드테크놀로지,83450,2017년 12월,15891168.0,-11691693.0,442280.0,성장기업
(주)글로벌스탠다드테크놀로지,83450,2021년 12월,21090996.0,-14476330.0,-2459905.0,우량기업
(주)금빛,45890,2018년 12월,-1758462.0,7835392.0,-5865181.0,정리기업
(주)금빛,45890,2019년 12월,-13594750.0,-6322938.0,19411863.0,스타트업
(주)금빛,45890,2020년 12월,-2183292.0,-26338762.0,27887389.0,스타트업
(주)금빛,45890,2017년 12월,-509347.0,600635.0,1202148.0,부실기업
(주)금오하이텍,165270,1905년 7월,,,,판단불가
(주)금화피에스시,36190,2019년 12월,15347622.0,-4321502.0,-7955061.0,우량기업
(주)금화피에스시,36190,2020년 12월,18041111.0,-1007537.0,-10081611.0,우량기업
(주)금화피에스시,36190,2021년 12월,12170987.0,-8276230.0,-7851689.0,우량기업
(주)금화피에스시,36190,2017년 12월,45454658.0,-37436939.0,-5380000.0,우량기업
(주)금화피에스시,36190,2018년 12월,21110484.0,-15380846.0,-5500000.0,우량기업
(주)기가레인,49080,2019년 12월,8306714.0,-1695891.0,-6232733.0,우량기업
(주)기가레인,49080,2018년 12월,-9320776.0,2263291.0,5119320.0,부실기업
(주)기가레인,49080,2021년 12월,7413265.0,-3535196.0,-12154932.0,우량기업
(주)기가레인,49080,2020년 12월,-3158046.0,20099744.0,9942993.0,부실기업
(주)기가레인,49080,2017년 12월,-3893464.0,-10625525.0,14347861.0,스타트업
(주)기산텔레콤,35460,2019년 12월,5501406.0,-1044708.0,3040710.0,성장기업
(주)기산텔레콤,35460,2020년 12월,-2584106.0,-753814.0,869346.0,스타트업
(주)기산텔레콤,35460,2021년 12월,-479429.0,-1194372.0,-764379.0,쇠퇴기업
(주)기산텔레콤,35460,2017년 12월,2647045.0,39118.0,-685385.0,성숙기업
(주)기산텔레콤,35460,2018년 12월,-2276209.0,-3968651.0,-529528.0,쇠퇴기업
(주)까스텔바작,308100,2020년 12월,664730.0,-4246849.0,8505513.0,성장기업
(주)까스텔바작,308100,2019년 12월,1951782.0,-6860983.0,6074128.0,성장기업
(주)까스텔바작,308100,2021년 12월,5413198.0,-25184420.0,16578786.0,성장기업
(주)나노,187790,2019년 12월,1909303.0,-2763790.0,4542064.0,성장기업
(주)나노,187790,2017년 12월,-460060.0,-3282598.0,5653695.0,스타트업
(주)나노,187790,2021년 12월,43313.0,-11346180.0,3788239.0,성장기업
(주)나노,187790,2018년 12월,5871665.0,-15201451.0,9033800.0,성장기업
(주)나노,187790,2020년 12월,8335739.0,-2249142.0,-1165507.0,우량기업
(주)나노브릭,286750,2021년 12월,-2886912.0,-8973650.0,11388251.0,스타트업
(주)나노브릭,286750,2020년 12월,1966016.0,2420541.0,-1551529.0,성숙기업
(주)나노브릭,286750,2019년 12월,-1388477.0,-4977169.0,5448260.0,스타트업
(주)나노신소재,121600,2019년 12월,12314436.0,-7681809.0,-917085.0,우량기업
(주)나노신소재,121600,2018년 12월,3478436.0,-1616867.0,-1571600.0,우량기업
(주)나노신소재,121600,2021년 12월,10782188.0,-13403643.0,6602963.0,성장기업
(주)나노신소재,121600,2020년 12월,9481708.0,-10003453.0,2862466.0,성장기업
(주)나노신소재,121600,2017년 12월,9525417.0,-11412526.0,-3319906.0,우량기업
(주)나노엔텍,39860,2019년 12월,4092097.0,-1015021.0,-7216.0,우량기업
