기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용
(주)CMG제약,58820,2017,109568153,11624134,97944019,41535588,18038036,1558607,2834901,81227330,10884321,73322813,7904518,16768648,7002289,0,0,0,16182518,0,0
(주)CMG제약,58820,2018,114379880,10398033,103981846,49864782,22739941,2567820,6065026,81370415,8495060,72797832,8572582,19030822,4162722,0,0,0,17268535,0,0
(주)CMG제약,58820,2019,192243166,12084883,180158283,58622681,28922631,2603774,3051177,150584066,9306387,141535132,9048933,21676515,4328437,0,0,0,24119403,0,0
(주)CMG제약,58820,2020,195355583,14224578,181131004,64459891,31210452,1822365,214996,145981120,13648964,130934186,15046934,20439596,5590817,0,0,0,29740814,0,
(주)CMG제약,58820,2021,199174593,14472099,184702494,69475496,33450645,1660476,3165485,125482013,13728982,112286476,13195537,20942021,5037770,0,0,0,30516184,0,
(주)ES큐브,50120,2017,105892131,33075251,72816880,35745794,9687855,2248520,1737925,51038158,3702478,42691587,8346570,3886201,1232866,0,27400000,0,11623688,0,0
(주)ES큐브,50120,2018,112430896,41682289,70748607,33763508,7727451,-1211129,-6121462,45061626,37613190,35824746,9236879,4655667,907478,0,2100000,0,15202081,0,0
(주)ES큐브,50120,2019,463958680,389920168,74038512,43708239,8197448,-2617071,-13767748,359030693,230135454,351382660,7648032,212246240,1002412,2726000,24900000,0,17333381,0,6734172
(주)ES큐브,50120,2020,714889745,645391926,69497819,80672425,24142051,10315988,-25292140,322209018,523911459,312793766,9415254,221493392,3558099,0,0,0,29329873,0,27903983
(주)ES큐브,50120,2021,1082732056,966876862,115855194,125787293,15286278,283187,5375801,211621456,24252634,198238481,13382975,5473681,4632866,1500000,0,0,33186069,0,72762688
(주)가비아,79940,2017,133382584,33486064,99896520,116217941,55904577,12712157,9669613,66113388,29400833,64437924,1675464,19164658,7351096,2400000,1700000,0,45452326,0,0
(주)가비아,79940,2018,151440505,37253015,114187490,128728438,62977071,18188449,15340647,78058272,29792809,76075978,1982294,20324111,3929911,8214600,3315000,0,49107084,0,0
(주)가비아,79940,2019,199916131,64956993,134959139,148306878,72656494,23736596,21102390,86880807,43098923,84237203,2643604,25159207,4480341,6645286,11463170,0,85359914,0,0
(주)가비아,79940,2020,260025259,86821629,173203629,169044955,83163471,28545232,23751739,123738031,50679127,120677745,3060285,21434822,5617099,8600000,27643852,0,105175837,0,0
(주)가비아,79940,2021,302957884,98368307,204589577,200442778,98530260,33094801,24998709,155727189,58783390,146824826,8902363,27501608,10050846,11100000,26124828,0,117983472,0,0
(주)강스템바이오텍,217730,2017,47198979,22716816,24482163,9132939,3258892,-11737865,-11531949,25246012,6368374,23520787,1725225,440984,1239629,1350000,4260000,14000000,13229478,0,0
(주)강스템바이오텍,217730,2018,73194018,25612644,47581374,9165454,1177260,-11693969,-14294032,48992790,20056267,47074214,1918575,2038576,1787264,1405000,4438889,0,15140205,0,0
(주)강스템바이오텍,217730,2019,113643697,44924460,68719236,6004584,-424362,-23153708,-26394472,55408095,20598774,55141701,266393,1209654,616805,240000,7655556,2100000,31219524,0,0
(주)강스템바이오텍,217730,2020,82505287,33866416,48638871,9137898,1045689,-18725365,-19745799,44750599,12206140,44395740,354859,1308178,385404,0,7300000,0,31882092,0,0
(주)강스템바이오텍,217730,2021,103147836,37144831,66003004,12404665,2688873,-22735544,-21826784,65355114,22473220,64591345,763769,1679749,850367,0,5630000,0,31786048,0,0
(주)강원에너지,114190,2017,93179394,44876384,48303010,82034829,865112,-5588512,-6451819,68068421,33693980,67707039,361382,47160876,15372002,0,7200000,5000000,15392067,0,0
(주)강원에너지,114190,2018,93845576,43641869,50203707,85905365,5893132,341329,1708887,70556730,43608244,70012992,543737,43399528,11107883,7200000,0,0,14771745,0,0
(주)강원에너지,114190,2019,56602063,35477506,21124556,42549622,-6139234,-17175963,-35647438,30544232,30840573,30425447,118784,20063616,7904034,7200000,3320000,0,10387938,0,0
(주)강원에너지,114190,2020,32968636,15872298,17096338,38345166,-1859327,-9226308,-12874763,21492517,12436158,21272741,219776,15450041,3769187,1300000,2656000,0,6699242,0,0
(주)강원에너지,114190,2021,41538176,12944572,28593603,44163151,4959372,1916422,5795694,31351053,11615853,30664755,686297,16774077,2283424,0,0,0,6222385,0,
(주)고려시멘트,198440,2017,115881620,38487512,77394108,87660276,11685674,3017621,1003761,38542950,23125664,35213009,3329941,30481250,5866237,5200000,2285714,1500000,47901220,0,
(주)고려시멘트,198440,2018,127536833,41025871,86510962,85775723,12667611,3837563,4645869,49955334,29601570,45712347,4242987,32476313,4413490,11800000,914286,0,48776544,0,
(주)고려시멘트,198440,2019,127035573,38590195,88445378,70921781,5322291,-459627,3396444,46591282,27999091,39649082,6942200,25700956,3352457,11160000,0,0,51139394,0,
(주)고려시멘트,198440,2020,115337527,22975393,92362134,70182711,8144784,4280746,4445204,38514127,10466720,35032439,3481688,24896212,3016057,0,0,0,50657764,0,
(주)고려시멘트,198440,2021,146783492,29632628,117150863,65672532,6603544,3697680,4638804,48415815,11415579,44211981,4203834,16961692,4985341,0,0,0,78075530,0,
(주)고바이오랩,348150,2020,58537097,3146423,55390674,4591485,2641995,-12344974,-55072387,57809840,3089323,57704282,105559,2677529,0,0,0,0,293863,0,0
(주)고바이오랩,348150,2021,105285475,14696967,90588508,2893329,1909085,-16337359,-15381916,98618761,6840044,98362549,256212,199204,0,0,0,7632558,5736568,0,0
(주)고영테크놀러지,98460,2017,205207385,43890214,161317171,203368626,131469104,43748905,26734105,161356541,32283948,139056015,22300525,72204125,16233234,0,0,0,25337806,0,0
(주)고영테크놀러지,98460,2018,279059436,53192797,225866639,238208865,148872158,45983316,42309672,227563739,40471875,196165395,31398344,87348349,15677316,0,0,0,33117594,0,0
(주)고영테크놀러지,98460,2019,305481184,61812656,243668528,222057035,141192030,33331312,29559680,225797248,38413935,189465720,36331529,85250616,13515704,0,0,0,37283940,0,0
(주)고영테크놀러지,98460,2020,302574461,56516358,246058103,179545134,113122659,15842903,9161038,193413612,31177646,157041378,36372234,64550899,11721541,0,1071314,0,35810840,0,0
(주)고영테크놀러지,98460,2021,368329267,87929905,280399362,247301342,157211429,41351275,39586269,272142027,47498159,229682582,42459445,79212591,14032163,0,6133000,0,39712311,0,0
(주)골드앤에스,35290,2017,17173934,3827858,13346076,12802035,4799349,-3694041,-7975875,10831000,3198537,9773531,1057469,6452974,218963,1550000,0,0,338535,0,0
(주)골드앤에스,35290,2018,42472631,28693062,13779569,8680452,4274694,-4667030,-4380399,21031370,28003279,19740687,1290682,4799709,89720,2000000,0,0,11191043,0,0
(주)골드앤에스,35290,2019,16096170,21187743,-5091573,7642733,1349614,-7142117,-24883278,3910189,21055498,3412176,498013,4418864,111463,1900000,0,0,3722968,0,0
(주)골드앤에스,35290,2020,20634172,6236005,14398168,4138760,3095848,-2343112,1635730,9045300,2194126,8681440,363860,1265192,132149,0,0,5000000,3594431,0,0
(주)골드앤에스,35290,2021,26144813,10968859,15175954,13506639,4651710,1355619,770698,12783254,3771648,12426758,356495,1717736,171247,0,0,5000000,3354873,0,0
(주)골드퍼시픽,38530,2017,26567967,21203473,5364494,5031439,3042558,937598,-965087,17215160,20748043,16670090,545070,10040030,631826,0,0,0,1297094,0,
