기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용
(주)CMG제약,58820,2017,109568153,11624134,97944019,41535588,18038036,1558607,2834901,81227330,10884321,73322813,7904518,16768648,7002289,0,0,0,16182518,0
(주)CMG제약,58820,2018,114379880,10398033,103981846,49864782,22739941,2567820,6065026,81370415,8495060,72797832,8572582,19030822,4162722,0,0,0,17268535,0
(주)CMG제약,58820,2019,192243166,12084883,180158283,58622681,28922631,2603774,3051177,150584066,9306387,141535132,9048933,21676515,4328437,0,0,0,24119403,0
(주)CMG제약,58820,2020,195355583,14224578,181131004,64459891,31210452,1822365,214996,145981120,13648964,130934186,15046934,20439596,5590817,0,0,0,29740814,0
(주)CMG제약,58820,2021,199174593,14472099,184702494,69475496,33450645,1660476,3165485,125482013,13728982,112286476,13195537,20942021,5037770,0,0,0,30516184,0
(주)ES큐브,50120,2017,104850192,33451725,71398467,37104908,6607652,2170102,1218923,44761949,4085637,44353678,408271,2573314,2416818,0,27400000,0,7506218,0
(주)ES큐브,50120,2018,108481764,41963133,66518631,31308873,5615038,691469,-3836071,29054833,37696219,28494462,560371,3016721,2520376,0,2100000,0,10880733,0
(주)ES큐브,50120,2019,136065488,82079157,53986331,28527284,5818867,587700,-12738710,24298462,54789915,23829853,468610,2610301,4247225,0,24900000,0,10576512,0
(주)ES큐브,50120,2020,81995388,9045774,72949614,30293088,6096177,1452732,-29081429,7524373,8346341,6883724,640650,2051647,4115710,0,0,0,553920,0
(주)ES큐브,50120,2021,76172807,10875187,65297621,41105787,7492339,2340435,5694998,11457013,9871135,11457013,0,3628391,6572037,1500000,0,0,874517,0
(주)가비아,79940,2017,64986436,17323452,47662984,52365659,21803859,3176328,2493743,15116578,17323452,15116578,0,2897556,2413820,0,0,0,22362004,0
(주)가비아,79940,2018,69315988,19483076,49832912,55197652,23543049,4106091,2762732,18388749,18089528,18388748,0,2873894,1771040,5500000,1000000,0,24425180,0
(주)가비아,79940,2019,82964911,28880845,54084066,58254105,23722009,4889113,4654769,13602872,20260391,13602872,0,3227148,2058371,3000000,4910996,0,39724951,0
(주)가비아,79940,2020,98083331,39723428,58359903,64097025,27270015,7129578,4758214,20369123,25284597,20369122,0,3225566,2778312,5000000,12932988,0,46400885,0
(주)가비아,79940,2021,107496533,43752523,63744010,71873259,32160234,7607659,4413118,22942477,24357692,22942477,0,3361741,1285910,5000000,12575228,0,55636808,0
(주)강스템바이오텍,217730,2017,44508729,19840601,24668128,5394323,2991763,-11132505,-10855842,24316617,4000962,22591392,1725225,173608,1239629,0,4260000,14000000,12480829,0
(주)강스템바이오텍,217730,2018,66184838,18239878,47944961,1001039,724422,-10525345,-13500909,44071609,13802351,43569638,501972,1024620,230000,0,4000000,0,14220013,0
(주)강스템바이오텍,217730,2019,98625925,27780716,70845209,282069,140630,-19411148,-25001590,50136013,15296868,50101695,34319,1024806,270948,0,4000000,0,22738650,0
(주)강스템바이오텍,217730,2020,68097299,16666440,51430858,295379,244579,-16744948,-19492205,39796797,4647522,39769052,27745,979110,257539,0,4000000,0,22550495,0
(주)강스템바이오텍,217730,2021,90179843,20041371,70138473,3756744,1753921,-21748206,-20437353,62531976,6831662,61768208,763769,818511,850367,0,5630000,0,22311035,0
(주)강원에너지,114190,2017,87781416,40664397,47117020,83113029,865112,-5421114,-6291307,66557788,36681993,66196407,361382,47160876,15372002,0,0,2813494,9242859,0
(주)강원에너지,114190,2018,89619750,40333396,49286354,85905365,5893132,532248,1977524,70097814,40299772,69554077,543737,43399528,11107883,0,0,0,8853092,0
(주)강원에너지,114190,2019,55106032,32201998,22904034,42549622,-6139234,-17150531,-33460765,30346449,27565065,30227665,118784,20063616,7904034,0,3320000,0,9089689,0
(주)강원에너지,114190,2020,32998279,15786908,17211371,38345166,-1859327,-8978062,-14039206,21886931,12350768,21667156,219776,15450041,3769187,1300000,2656000,0,6334471,0
(주)강원에너지,114190,2021,41538176,12944572,28593603,44163151,4959372,1916422,5795694,31351053,11615853,30664755,686297,16774077,2283424,0,0,0,6222385,0
(주)고려시멘트,198440,2017,115881620,38487512,77394108,87660276,11685674,3017621,1003761,38542950,23125664,35213009,3329941,30481250,5866237,5200000,2285714,1500000,47901220,0
(주)고려시멘트,198440,2018,127536833,41025871,86510962,85775723,12667611,3837563,4645869,49955334,29601570,45712347,4242987,32476313,4413490,11800000,914286,0,48776544,0
(주)고려시멘트,198440,2019,127035573,38590195,88445378,70921781,5322291,-459627,3396444,46591282,27999091,39649082,6942200,25700956,3352457,11160000,0,0,51139394,0
(주)고려시멘트,198440,2020,115337527,22975393,92362134,70182711,8144784,4280746,4445204,38514127,10466720,35032439,3481688,24896212,3016057,0,0,0,50657764,0
(주)고려시멘트,198440,2021,146783492,29632628,117150863,65672532,6603544,3697680,4638804,48415815,11415579,44211981,4203834,16961692,4985341,0,0,0,78075530,0
(주)고바이오랩,348150,2020,55675224,1541278,54133946,4591485,2641995,-10213856,-56315205,54628500,208264,54522941,105559,2677529,0,0,0,0,293863,0
(주)고바이오랩,348150,2021,100242225,12856891,87385334,2893329,1909085,-11047248,-17475045,93165360,4999968,92909148,256212,199204,0,0,0,7632558,5736568,0
(주)고영테크놀러지,98460,2017,205696350,40860118,164836232,188934907,115295604,45513084,28907302,159374622,29687984,146624845,12749777,103464560,14022036,0,0,0,24158929,0
(주)고영테크놀러지,98460,2018,279985447,50714272,229271175,219818022,131724819,46196834,42430216,231667150,38506988,212179846,19487304,107503723,14095316,0,0,0,32377941,0
(주)고영테크놀러지,98460,2019,308020011,55999383,252020628,209480760,127878419,40057965,34702997,229213476,34506180,207875279,21338197,111177420,11824330,0,0,0,35418136,0
(주)고영테크놀러지,98460,2020,303115486,50452865,252662621,157077647,93756551,13572990,7447169,201321695,28141120,177907405,23414289,92140984,10828396,0,0,0,34080163,0
(주)고영테크놀러지,98460,2021,366774976,81333736,285441240,230143517,141755592,43786021,38620523,278355427,42685321,250975563,27379864,106864246,11044442,0,6133000,0,38074056,0
(주)골드앤에스,35290,2017,16994788,3890051,13104737,12802035,4581274,-3690116,-8062623,10974294,3260731,9916825,1057469,6452974,218963,1550000,0,0,336869,0
(주)골드앤에스,35290,2018,42472631,28605618,13867013,8680452,4332185,-4559128,-4045846,21031370,27915835,19740687,1290682,4799709,89720,2000000,0,0,11191043,0
(주)골드앤에스,35290,2019,16096170,21097263,-5001092,7642733,1349614,-7142117,-24883215,3910189,20965017,3412176,498013,4418864,111463,1900000,0,0,3722968,0
(주)골드앤에스,35290,2020,20634172,6145524,14488649,4138760,3095848,-2343112,1635730,9045300,2103645,8681440,363860,1265192,132149,0,0,5000000,3594431,0
(주)골드앤에스,35290,2021,26144813,10878378,15266435,13506639,4651710,1355619,770698,12783254,3681167,12426758,356495,1717736,171247,0,0,5000000,3354873,0
(주)골드퍼시픽,38530,2017,26567967,21203473,5364494,5031439,3042558,937598,-965087,17215160,20748043,16670090,545070,10040030,631826,0,0,0,1297094,0
(주)골드퍼시픽,38530,2018,37288362,17201663,20086698,5580994,4172170,-506241,-4380343,22006122,11654119,21198162,807960,9097306,105811,46122,5440000,0,83408,0
(주)골드퍼시픽,38530,2019,72945743,51876425,21069318,11323125,3293749,-3421041,-31603970,28455147,50456375,24906806,3548341,11971868,1568859,7000000,0,1130782,908909,0
(주)골드퍼시픽,38530,2020,71420104,11682284,59737820,14335385,5460316,684966,-1498118,42322228,11547046,38820152,3502076,9530535,1032141,0,0,0,702972,0
(주)골드퍼시픽,38530,2021,87388934,24404597,62984337,8722064,1939199,-4780315,-19466291,64697401,24238409,61690444,3006957,5507264,655512,0,0,0,904569,0
(주)골프존,215000,2017,239011847,57616911,181394935,171859065,110150500,33528808,75544308,142686039,45867329,132462044,10223995,16542689,3390826,23333320,9166650,0,66800539,0
(주)골프존,215000,2018,254578679,57141835,197436844,191571105,114386279,29085694,21663391,134088763,52508860,126088853,7999910,19652517,4098802,18333320,833330,0,81753994,0
(주)골프존,215000,2019,304860836,99331248,205529589,239051647,142587936,36199059,19704546,70491340,54396575,63057469,7433871,19050011,2799499,833330,0,0,110267389,0
(주)골프존,215000,2020,348043074,119465961,228577113,281031445,166769425,51582977,36329008,104804073,71161458,97039323,7764751,16009543,3819300,0,0,0,111534007,0
(주)골프존,215000,2021,453214136,164517688,288696449,413298839,252310090,105538794,74185362,202809192,117928303,183314712,19494480,28621533,7064462,0,0,0,105418898,0
(주)골프존뉴딘홀딩스,121440,2017,536244772,56170310,480074463,23499543,22818357,-6824300,-21778628,46961353,37343445,46961354,0,1611931,0,9300000,16000000,0,92900686,0
(주)골프존뉴딘홀딩스,121440,2018,563387103,78906181,484480922,16100354,15470314,-11005550,-7653686,59445798,53590836,59445797,0,2372526,0,9300000,10000000,0,83633825,0
(주)골프존뉴딘홀딩스,121440,2019,537526345,87456888,450069457,26897482,1536388,-17956208,-30341791,30696570,13311280,30696570,0,2408025,0,9300000,54200000,0,70002997,0
(주)골프존뉴딘홀딩스,121440,2020,562128924,93884548,468244376,57481004,53372261,36116411,27193646,42268511,11336741,42120657,147854,3059780,1016,6300000,54200000,0,67580453,0
