기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
3S,2017,53706903697,24527236916,29179666781,26486287918,-2421224869,-8803810083,54.33131455,,,,-0.163923248,
3S,2018,49520999059,18768660365,30752338694,31546170185,333310617,-1432239774,62.09959265,8.264169653,0.160396087,-5.146882835,-0.028921868,-0.04779549
3S,2019,53329221212,18957538831,34371682381,35751939484,1662145638,1411081065,64.45187385,0.799469668,0.117637514,2.01499468,0.02645981,0.043335195
3S,2020,49658374621,16293352322,33365022299,22592015218,467181073,-1080358319,67.18911473,-2.557818872,-0.582503338,2.3061232,-0.021755813,-0.031898756
3S,2021,54614752349,18068427911,36546324438,23477908383,-1408265950,695334883,66.91657998,1.331742078,0.037733053,2.553723746,0.012731631,0.019891904
APS홀딩스,2017,2.31783E+11,48506788748,1.83276E+11,80465235100,-296684124,6.70121E+11,79.07232416,-3.746684558,0.708222957,0.998962375,2.891158273,6.096930331
APS홀딩스,2018,2.83204E+11,47614274439,2.3559E+11,28416309699,-3614600651,1166724289,83.1872803,0.917920636,-1.831656748,-573.3612774,0.004119733,0.005570874
APS홀딩스,2019,2.97708E+11,82922501541,2.14786E+11,23151385938,-10579887493,-4601038289,72.14638716,0.658351693,-0.227412898,1.253578479,-0.015454857,-0.020432017
APS홀딩스,2019,2.90599E+11,82814661551,2.07785E+11,23151385938,-10579887493,-4601038289,71.50212462,0,0,0,-0.015832923,-0.021776429
APS홀딩스,2020,2.75217E+11,1.08669E+11,1.66547E+11,25345952537,-10877059034,-46308607986,60.51498227,0.027320946,0.086584499,0.900643995,-0.168262457,-0.247419986
APS홀딩스,2020,2.71348E+11,1.07755E+11,1.63593E+11,25345952537,-10877059034,-42302965786,60.28899203,0,0,-0.094689394,-0.155899503,-0.256272889
APS홀딩스,2021,3.37093E+11,1.49823E+11,1.87269E+11,39415521257,-3963571695,23585855545,55.55425629,-1.744256915,0.356955034,2.793573513,0.069968481,0.134445181
AP시스템,2017,4.68031E+11,3.78541E+11,89489340129,9.62423E+11,26159865374,19088064733,19.12039878,1.151513459,0.959045519,-0.235633673,0.040783786,0.137940167
AP시스템,2018,4.20987E+11,3.14572E+11,1.06415E+11,7.1424E+11,45752842099,25227011908,25.27753677,0.428235183,-0.347478363,0.24334817,0.059923502,0.257544016
AP시스템,2019,4.20966E+11,3.06843E+11,1.14123E+11,4.62078E+11,28427122553,9451469310,27.10977379,-0.609478484,-0.545713354,-1.66911007,0.022451866,0.085712831
AP시스템,2020,3.71315E+11,2.33155E+11,1.3816E+11,5.91795E+11,46277808090,24951026992,37.20819237,0.385728847,0.219193296,0.621199187,0.067196385,0.197802279
AP시스템,2021,4.2872E+11,2.37178E+11,1.91542E+11,5.28741E+11,64305495077,57166230146,44.67775181,0.280344424,-0.119253823,0.563535554,0.133341618,0.34677504
AP위성,2017,1.03716E+11,21663952482,82051818860,30047518280,2721418039,65521281,79.11219075,-22.62940723,-16.59682665,-871.4834019,0.000631739,0.000478967
AP위성,2018,99703730899,18203168074,81500562825,42843708317,881104551,-664742250,81.74274131,-2.088643721,0.298671393,1.098566446,-0.006667175,-0.008128799
AP위성,2019,1.02643E+11,20383419070,82259393929,45653106268,7123981451,713709314,80.14140642,0.876318523,0.061537936,1.931390745,0.00695333,0.00871653
AP위성,2020,1.12747E+11,32846512777,79900904856,45379281619,4376442736,-1361421642,70.86717065,-0.62780182,-0.006034134,1.524238261,-0.01207497,-0.01679106
AP위성,2021,1.11188E+11,30083388932,81104774352,40201720460,842198469,1401740834,72.94371267,-4.196450596,-0.128789542,1.971236343,0.012606925,0.017412315
BNGT,2017,35990573906,13453401366,22537172540,52949862283,-169495783,-2236525732,62.61965313,5.968846151,0.240758734,1.626749254,-0.062141986,-0.043158698
BNGT,2018,52079042868,33695224592,18383818276,49316599952,-4631294669,-5760192650,35.29983898,0.963402073,-0.073672198,0.611727269,-0.11060481,-0.281527526
BNGT,2019,41822337388,19301794239,22520543149,51911129030,-3134779434,-18520371267,53.84812173,-0.477390919,0.049980209,0.688980714,-0.442834438,-0.905545063
BNGT,2019,41822337388,19301794239,22520543149,51486653179,-3428136777,-18520371267,53.84812173,0.085573407,-0.008244386,0,-0.442834438,-0.822376758
BNGT,2019,41822337388,20579583479,21242753909,51486653179,-3428136777,-18520371267,50.79284238,0,0,0,-0.442834438,-0.846388299
BNGT,2020,41742143930,18953214369,22788929561,54588246084,-1516977958,-6591115646,54.59453544,-1.259846136,0.056817962,-1.809899304,-0.157900746,-0.299380588
BNGT,2020,41742143930,20397599169,21344544761,51113351963,-261517233,-6757711206,51.13428001,-4.800680669,-0.067984078,0.02465266,-0.161891809,-0.306239711
BNGT,2021,75416456116,30892454134,44524001982,72200888518,121670608,7845512334,59.03751552,3.149387081,0.292067549,1.861347343,0.104029183,0.238217259
CBI,2017,34101559433,13695176349,20406383084,22205940577,-219723977,-561230732,59.84002909,1.553742972,-2.251422216,14.97912104,-0.016457627,-0.017287152
CBI,2018,35918271916,14538372564,21379899352,21818976074,108006575,124819655,59.52374157,3.034357418,-0.017735227,5.496332985,0.003475102,0.005974193
CBI,2019,40883527820,18902615781,21980912039,22117496797,241442866,306965930,53.76471457,0.552661974,0.013497039,0.593376193,0.007508303,0.01415868
CBI,2020,44319089086,24466128021,19852961065,16710124584,-2452531875,-3028248235,44.79550793,1.098446372,-0.323598558,1.101367492,-0.068328305,-0.14477494
CBI,2021,76762424086,46595763171,30166660915,24773247642,-4984016873,-12277531327,39.29873408,0.507920632,0.32547703,0.753350396,-0.159941944,-0.490908601
CJ ENM,2017,2.80182E+12,1.31771E+12,1.4841E+12,2.26001E+12,2.24482E+11,1.43442E+11,52.96931705,1.022202345,0.989038419,1.085592325,0.051196024,0.189453523
CJ ENM,2018,6.75495E+12,3.3293E+12,3.42565E+12,2.36038E+12,1.8207E+11,1.84219E+11,50.71316872,-0.232942963,0.042522275,0.221350754,0.027271708,0.075042063
CJ ENM,2019,5.43491E+12,2.28301E+12,3.15189E+12,3.78972E+12,2.69385E+11,58615849418,57.99350667,0.324128743,0.377164312,-2.142818474,0.010785068,0.017823026
CJ ENM,2020,6.27992E+12,2.49474E+12,3.78518E+12,3.39118E+12,2.72068E+11,65629506717,60.27433751,0.009860374,-0.11752236,0.106867439,0.010450696,0.018921385
CJ ENM,2021,7.94062E+12,3.73732E+12,4.20331E+12,3.5524E+12,2.96876E+11,2.27562E+11,52.93419462,0.083564287,0.045381347,0.711597818,0.028658003,0.056972621
CJ 바이오사이언스,2017,14987692589,1825171560,13162521029,3672571077,-2617994403,-2362839293,87.82219779,114.3982964,-966.2778192,97.30889803,-0.157651972,-0.001120767
CJ 바이오사이언스,2018,12834445686,2057203171,10777242515,3924040385,-3406324304,-3134950478,83.97123474,0.231431253,0.064084281,0.24629135,-0.244260684,-0.261903212
CJ 바이오사이언스,2019,33741415257,2886768288,30854646969,4783223061,-4518862465,-4345714426,91.44443626,0.246198721,0.179624213,0.278611024,-0.128794669,-0.208768542
CJ 바이오사이언스,2020,73362425480,38878356736,34484068744,5311546768,-8513222577,-8762586953,47.00508267,0.469194841,0.099467016,0.504060336,-0.119442438,-0.268220361
CJ 바이오사이언스,2021,1.16355E+11,28502163599,87853080239,4363027299,-10108067067,-19272342235,75.50418644,0.157779374,-0.217399389,0.545328386,-0.165633637,-0.315069337
CJ프레시웨이,2017,9.02642E+11,6.67165E+11,2.35477E+11,2.50441E+12,43879878108,1210148862,26.08751493,1.230357683,0.998257862,16.9255963,0.001340675,0.007485536
CJ프레시웨이,2018,9.17345E+11,6.64476E+11,2.52868E+11,2.82807E+12,50659237257,16703748519,27.56524579,0.133822764,0.114446317,0.927552258,0.018208806,0.068409609
CJ프레시웨이,2019,1.18166E+12,8.9253E+11,2.89133E+11,3.05508E+12,58075352319,9587493127,24.46834473,0.12769815,0.074305286,-0.742243598,0.008113559,0.035378093
CJ프레시웨이,2020,1.12278E+12,8.36543E+11,2.86235E+11,2.47853E+12,-3545694413,-42517696613,25.49348151,17.37911945,-0.232618746,1.22549418,-0.037868278,-0.147792849
CJ프레시웨이,2021,1.21648E+12,8.73849E+11,3.42635E+11,2.29143E+12,55629220994,31105478910,28.16597827,1.063737984,-0.081649635,2.366887703,0.025569988,0.098924992
CMG제약,2017,1.09568E+11,11624133943,97944019403,41535587785,1558607063,2834900621,89.39095569,-34.6916264,-54.16796804,-9.972334861,0.0258734,0.012868989
CMG제약,2018,1.1438E+11,10398033473,1.03982E+11,49864782072,2567820061,6065025685,90.90921103,0.393023255,0.16703561,0.532582256,0.053025285,0.060071806
CMG제약,2019,1.92243E+11,12084883053,1.80158E+11,58622680863,2603773813,3051176651,93.71375155,0.013808324,0.149394375,-0.987766157,0.015871444,0.021476563
CMG제약,2020,1.95356E+11,14224578209,1.81131E+11,64459891270,1822364992,214996493,92.71862211,-0.428788319,0.090555697,-13.1917508,0.001100539,0.001190163
CMG제약,2021,1.99175E+11,14472098819,1.84702E+11,69475495579,1660476360,3165485154,92.7339634,-0.097495295,0.072192422,0.932081029,0.015893017,0.017305606
CNH,2017,3.23927E+11,2.2155E+11,1.02377E+11,55660625814,1271223003,2887540375,31.6049984,-0.306203834,-0.248198247,-0.096256586,0.008914161,0.020116645
CNH,2018,3.21953E+11,2.24887E+11,97066316206,62609641686,1736368448,733731760,30.14920833,0.267884069,0.110989549,-2.935416909,0.002279002,0.007357789
CNH,2018,3.75203E+11,2.78137E+11,97066316206,62609641686,1736368448,733731760,25.87033369,0,0,0,0.001955558,0.007559077
CNH,2019,4.65346E+11,3.55548E+11,1.09798E+11,1.67823E+11,21073623158,15879708958,23.59497205,0.917604655,0.626930104,0.953794382,0.034124523,0.153527589
CNH,2019,4.99011E+11,3.9118E+11,1.07831E+11,1.67823E+11,21696165686,14739646914,21.60899134,0.028693666,0,-0.077346632,0.029537733,0.135456367
CNH,2020,5.57811E+11,4.23205E+11,1.34606E+11,3.0879E+11,55610775660,29442437096,24.13115216,0.609856805,0.456513964,0.499374088,0.052782074,0.242886835
CNH,2021,6.29691E+11,4.98212E+11,1.3148E+11,3.02354E+11,-1843796817,1041966333,20.87999869,31.16101077,-0.021285557,-27.25661076,0.001654725,0.007831806
CNT85,2017,64236707899,31835580485,32401127414,15293501383,341135195,-21521310561,50.44020541,6.404885934,-18.77008359,1.048415561,-0.335031344,-0.262646099
