기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
3S,2017,16712868726,36994034971,53706903697,15356228050,9171008866,24527236916,20987069000,-30929575224,29179666781,26486287918,-2421224869,-8803810083
3S,2020,16100334467,33558040154,49658374621,13519968653,2773383669,16293352322,22401255500,-32758655855,33365022299,22592015218,467181073,-1080358319
3S,2019,18079335574,35249885638,53329221212,17221417861,1736120970,18957538831,22386071500,-31672784858,34371682381,35751939484,1662145638,1411081065
3S,2018,12801669723,36719329336,49520999059,12539083622,6229576743,18768660365,21833121000,-32361814998,30752338694,31546170185,333310617,-1432239774
APS홀딩스,2017,83530217742,1.48E+11,2.32E+11,21478412654,27028376094,48506788748,6664270000,7.44E+11,1.83E+11,87934027389,256404943,6.70E+11
APS홀딩스,2020,37547778577,2.38E+11,2.75E+11,30222692519,78446599401,1.09E+11,10895916500,6.86E+11,1.67E+11,25345952537,-10877059034,-46308607986
APS홀딩스,2019,56460963192,2.41E+11,2.98E+11,43557314081,39365187460,82922501541,10895916500,7.34E+11,2.15E+11,23151385938,-10579887493,-4601038289
APS홀딩스,2018,54504524024,2.29E+11,2.83E+11,20784119818,26830154621,47614274439,10895916500,7.51E+11,2.36E+11,28416309699,-3614600651,1166724289
AP시스템,2017,3.24E+11,1.44E+11,4.68E+11,3.43E+11,36003942573,3.79E+11,70204310106,19285170655,89489340129,9.62E+11,26159865374,19088064733
AP시스템,2020,2.22E+11,1.49E+11,3.71E+11,1.53E+11,79899429747,2.33E+11,7640710500,69454479556,1.38E+11,5.92E+11,46277808090,24951026992
AP시스템,2019,2.52E+11,1.69E+11,4.21E+11,2.87E+11,20035407010,3.07E+11,7640710500,45315933494,1.14E+11,4.62E+11,28427122553,9451469310
AP시스템,2018,2.84E+11,1.37E+11,4.21E+11,2.91E+11,23468789384,3.15E+11,7640710500,38343620325,1.06E+11,7.14E+11,45752842099,25227011908
AP위성,2017,83805747490,19910023852,1.04E+11,21208347584,455604898,21663952482,7507402000,22978119518,82051818860,30047518280,2721418039,65521281
AP위성,2020,1.01E+11,11387642563,1.13E+11,31643569697,1202943080,32846512777,7507402000,20072763503,79900904856,45379281619,4376442736,-1361421642
AP위성,2019,86937090895,15705722104,1.03E+11,19525560601,857858469,20383419070,7507402000,22517757576,82259393929,45653106268,7123981451,713709314
AP위성,2018,82489530736,17214200163,99703730899,17916585430,286582644,18203168074,7507402000,22135627068,81500562825,42843708317,881104551,-664742250
BNGT,2017,19065052064,16925521842,35990573906,12984045098,469356268,13453401366,7133314500,-30788128289,22537172540,52949862283,-169495783,-2236525732
BNGT,2020,26820515100,14921628830,41742143930,15618478755,3334735614,18953214369,10981282500,-59736430296,22788929561,54588246084,-1516977958,-6591115646
BNGT,2019,20872424234,20949913154,41822337388,13222030967,6079763272,19301794239,8533809500,-53211869902,22520543149,51486653179,-3428136777,-18520371267
BNGT,2018,31103975475,20975067393,52079042868,32177963828,1517260764,33695224592,7285521000,-34953095245,18383818276,49316599952,-4631294669,-5760192650
CBI,2017,9639799149,24461760284,34101559433,4902739543,8792436806,13695176349,4089385500,12173514307,20406383084,22205940577,-219723977,-561230732
CBI,2020,13979478973,30339610113,44319089086,9848685712,14617442309,24466128021,4089385500,9954287734,19852961065,16710124584,-2452531875,-3028248235
CBI,2019,9984529966,30898997854,40883527820,7822083731,11080532050,18902615781,4089385500,13006692183,21980912039,22117496797,241442866,306965930
CBI,2018,11861512862,24056759054,35918271916,3664937306,10873435258,14538372564,4089385500,12405679496,21379899352,21818976074,108006575,124819655
CJ ENM,2017,6.62E+11,2.14E+12,2.80E+12,7.32E+11,5.86E+11,1.32E+12,31077590000,9.24E+11,1.48E+12,2.26E+12,2.24E+11,1.43E+11
CJ ENM,2020,1.75E+12,4.53E+12,6.28E+12,1.55E+12,9.43E+11,2.49E+12,1.11E+11,1.16E+12,3.79E+12,3.39E+12,2.72E+11,65629506717
CJ ENM,2019,1.59E+12,3.84E+12,5.43E+12,1.66E+12,6.22E+11,2.28E+12,1.11E+11,1.15E+12,3.15E+12,3.79E+12,2.69E+11,58615849418
