기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
3S,2018,12801669723,36719329336,49520999059,12539083622,6229576743,18768660365,21833121000,-32361814998,30752338694,31546170185,333310617,-1432239774,62.09959265,,,,-0.028921868,
3S,2019,18079335574,35249885638,53329221212,17221417861,1736120970,18957538831,22386071500,-31672784858,34371682381,35751939484,1662145638,1411081065,64.45187385,0.799469668,0.117637514,2.01499468,0.02645981,0.043335195
3S,2020,16100334467,33558040154,49658374621,13519968653,2773383669,16293352322,22401255500,-32758655855,33365022299,22592015218,467181073,-1080358319,67.18911473,-2.557818872,-0.582503338,2.3061232,-0.021755813,-0.031898756
APS홀딩스,2018,54504524024,2.28699E+11,2.83204E+11,20784119818,26830154621,47614274439,10895916500,7.50735E+11,2.3559E+11,28416309699,-3614600651,1166724289,83.1872803,1.129248323,0.204963084,1.925975682,0.004119733,0.008675993
APS홀딩스,2019,56460963192,2.41247E+11,2.97708E+11,43557314081,39365187460,82922501541,10895916500,7.34297E+11,2.14786E+11,23151385938,-10579887493,-4601038289,72.14638716,0.658351693,-0.227412898,1.253578479,-0.015454857,-0.020432017
APS홀딩스,2020,37547778577,2.37669E+11,2.75217E+11,30222692519,78446599401,1.08669E+11,10895916500,6.86404E+11,1.66547E+11,25345952537,-10877059034,-46308607986,60.51498227,0.027320946,0.086584499,0.900643995,-0.168262457,-0.242877546
AP시스템,2018,2.84425E+11,1.36562E+11,4.20987E+11,2.91103E+11,23468789384,3.14572E+11,7640710500,38343620325,1.06415E+11,7.1424E+11,45752842099,25227011908,25.27753677,1.237735156,0.964513385,2.835675511,0.059923502,0.18483876
AP시스템,2019,2.52429E+11,1.68537E+11,4.20966E+11,2.86808E+11,20035407010,3.06843E+11,7640710500,45315933494,1.14123E+11,4.62078E+11,28427122553,9451469310,27.10977379,-0.609478484,-0.545713354,-1.66911007,0.022451866,0.085712831
AP시스템,2020,2.22255E+11,1.4906E+11,3.71315E+11,1.53256E+11,79899429747,2.33155E+11,7640710500,69454479556,1.3816E+11,5.91795E+11,46277808090,24951026992,37.20819237,0.385728847,0.219193296,0.621199187,0.067196385,0.197802279
AP위성,2018,82489530736,17214200163,99703730899,17916585430,286582644,18203168074,7507402000,22135627068,81500562825,42843708317,881104551,-664742250,81.74274131,-51.52249354,-12.81288819,38.53488964,-0.006667175,-0.006052461
AP위성,2019,86937090895,15705722104,1.02643E+11,19525560601,857858469,20383419070,7507402000,22517757576,82259393929,45653106268,7123981451,713709314,80.14140642,0.876318523,0.061537936,1.931390745,0.00695333,0.00871653
AP위성,2020,1.0136E+11,11387642563,1.12747E+11,31643569697,1202943080,32846512777,7507402000,20072763503,79900904856,45379281619,4376442736,-1361421642,70.86717065,-0.62780182,-0.006034134,1.524238261,-0.01207497,-0.01679106
BNGT,2018,31103975475,20975067393,52079042868,32177963828,1517260764,33695224592,7285521000,-34953095245,18383818276,49621147742,-5606827974,-5760192650,35.29983898,1.780555914,0.085485047,0.763649981,-0.11060481,-0.117214405
BNGT,2019,20872424234,20949913154,41822337388,13222030967,6079763272,19301794239,8533809500,-53211869902,22520543149,51911129030,-3134779434,-18520371267,53.84812173,-0.788587712,0.044113494,0.688980714,-0.442834438,-0.905545063
BNGT,2020,26820515100,14921628830,41742143930,15618478755,3334735614,18953214369,10981282500,-59736430296,22788929561,54588246084,-1516977958,-6591115646,54.59453544,-1.066463403,0.049042005,-1.809899304,-0.157900746,-0.290937645
CBI,2018,11861512862,24056759054,35918271916,3664937306,10873435258,14538372564,4089385500,12405679496,21379899352,21818976074,108006575,124819655,59.52374157,15.04523713,-1.501870202,53.80511027,0.003475102,0.005651934
CBI,2019,9984529966,30898997854,40883527820,7822083731,11080532050,18902615781,4089385500,13006692183,21980912039,22117496797,241442866,306965930,53.76471457,0.552661974,0.013497039,0.593376193,0.007508303,0.01415868
CBI,2020,13979478973,30339610113,44319089086,9848685712,14617442309,24466128021,4089385500,9954287734,19852961065,16710124584,-2452531875,-3028248235,44.79550793,1.098446372,-0.323598558,1.101367492,-0.068328305,-0.14477494
CJ ENM,2018,1.80658E+12,4.94836E+12,6.75495E+12,2.02179E+12,1.30751E+12,3.3293E+12,1.10564E+11,1.06986E+12,3.42565E+12,3.42682E+12,2.51016E+11,1.84219E+11,50.71316872,1.009770401,0.995123718,1.016438308,0.027271708,0.106933047
CJ ENM,2019,1.67098E+12,3.75879E+12,5.43491E+12,1.65929E+12,6.22406E+11,2.28301E+12,1.10577E+11,1.14553E+12,3.15189E+12,3.78972E+12,2.69385E+11,58615849418,57.99350667,0.068187441,0.095760775,-2.142818474,0.010785068,0.017823026
CJ ENM,2020,1.7503E+12,4.52754E+12,6.27992E+12,1.55179E+12,9.42949E+11,2.49474E+12,1.10577E+11,1.16195E+12,3.78518E+12,3.39118E+12,2.72068E+11,65629506717,60.27433751,0.009860374,-0.11752236,0.106867439,0.010450696,0.018921385
CJ 바이오사이언스,2019,31641955125,2099460132,33741415257,2305012700,581755588,2886768288,1904474000,-4222377099,30854646969,4783223061,-4518862465,-4345714426,91.44443626,,,,-0.128794669,
CJ 바이오사이언스,2020,41089229502,32273195978,73362425480,3003731982,35874624754,38878356736,1946174000,-8762586953,34484068744,5311546768,-8513222577,-8762586953,47.00508267,0.469194841,0.099467016,0.504060336,-0.119442438,-0.268220361
CJ프레시웨이,2018,4.67895E+11,4.49449E+11,9.17345E+11,5.6726E+11,97215936820,6.64476E+11,11871586000,38510071268,2.52868E+11,2.82807E+12,50659237257,16703748519,27.56524579,1.168048771,0.998121849,1.524588055,0.018208806,0.116259699
CJ프레시웨이,2019,4.95835E+11,6.85828E+11,1.18166E+12,5.80356E+11,3.12174E+11,8.9253E+11,11871586000,37127997357,2.89133E+11,3.05508E+12,58075352319,9587493127,24.46834473,0.12769815,0.074305286,-0.742243598,0.008113559,0.035378093
CJ프레시웨이,2020,4.31141E+11,6.91637E+11,1.12278E+12,4.42099E+11,3.94444E+11,8.36543E+11,11871586000,-5952920215,2.86235E+11,2.47853E+12,-3545694413,-42517696613,25.49348151,17.37911945,-0.232618746,1.22549418,-0.037868278,-0.147792849
CMG제약,2018,81370414653,33009464894,1.1438E+11,8495060173,1902973300,10398033473,54443622000,2308863709,1.03982E+11,49864782072,2567820061,6065025685,90.90921103,2.380818877,-48.70499468,8.010307758,0.053025285,0.031085381
CMG제약,2019,1.50584E+11,41659100349,1.92243E+11,9306386532,2778496521,12084883053,69446122000,5054709407,1.80158E+11,58622680863,2603773813,3051176651,93.71375155,0.013808324,0.149394375,-0.987766157,0.015871444,0.021476563
CMG제약,2020,1.45981E+11,49374463000,1.95356E+11,13648964162,575614047,14224578209,69446122000,5638075578,1.81131E+11,64459891270,1822364992,214996493,92.71862211,-0.428788319,0.090555697,-13.1917508,0.001100539,0.001190163
CNH,2018,99395322120,74482187413,3.21953E+11,19132307729,54780480533,2.24887E+11,93000000000,15906654289,97066316206,62609641686,1736368448,733731760,30.14920833,-0.049526668,-0.029552151,0.706982163,0.002279002,0.005274902
CNH,2019,1.50622E+11,1.26538E+11,4.65346E+11,46564959602,67031954904,3.55548E+11,93000000000,30439786874,1.09798E+11,1.67823E+11,21073623158,15879708958,23.59497205,0.917604655,0.626930104,0.953794382,0.034124523,0.153527589
CNH,2020,,,5.57811E+11,,,4.23205E+11,93000000000,53458619423,1.34606E+11,3.0879E+11,55610775660,29442437096,24.13115216,0.621051444,0.456513964,0.46065236,0.052782074,0.240931997
