기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
3S,2018,12801669723.0,36719329336.0,49520999059.0,12539083622.0,6229576743.0,18768660365.0,21833121000.0,-32361814998.0,30752338694.0,31546170185.0,333310617.0,-1432239774.0,62.09959265434294,,,,-0.028921867515104244,
3S,2019,18079335574.0,35249885638.0,53329221212.0,17221417861.0,1736120970.0,18957538831.0,22386071500.0,-31672784858.0,34371682381.0,35751939484.0,1662145638.0,1411081065.0,64.45187385047689,0.7994696677716757,0.1176375144873525,2.01499467998318,0.02645981008030326,0.043335194654977774
3S,2020,16100334467.0,33558040154.0,49658374621.0,13519968653.0,2773383669.0,16293352322.0,22401255500.0,-32758655855.0,33365022299.0,22592015218.0,467181073.0,-1080358319.0,67.18911473371158,-2.5578188716562154,-0.5825033375294002,2.306123200223166,-0.02175581313817565,-0.031898756342039404
3S,2020,19312931531.0,30345443090.0,49658374621.0,13519968653.0,2773383669.0,16293352322.0,22401255500.0,-32758655855.0,33365022299.0,22592015218.0,467181073.0,-1080358319.0,67.18911473371158,0.0,0.0,-0.0,-0.02175581313817565,-0.032379966940180346
3S,2020,,,,,,,,,,,,,,,,,,
3S,2021,18070667851.0,36544084498.0,54614752349.0,15766999142.0,2301428769.0,18068427911.0,22838270000.0,-32063320972.0,36546324438.0,23477908383.0,-1408265950.0,695334883.0,66.91657998275107,,,,0.01273163116362152,
APS홀딩스,2018,54504524024.0,228699355412.0,283203879436.0,20784119818.0,26830154621.0,47614274439.0,10895916500.0,750734950934.0,235589604997.0,28416309699.0,-3614600651.0,1166724289.0,83.18728029650451,0.6103951484625569,0.17378756665837533,0.40402810710663106,0.00411973272161218,0.00857457000567559
APS홀딩스,2019,56460963192.0,241247280352.0,297708243544.0,43557314081.0,39365187460.0,82922501541.0,10895916500.0,734296922705.0,214785742003.0,23151385938.0,-10579887493.0,-4601038289.0,72.14638716285852,0.6583516929275913,-0.22741289765975997,1.2535784785337178,-0.01545485685659217,-0.020432016626345226
APS홀딩스,2019,56460963192.0,234138460271.0,290599423463.0,43557314081.0,39257347470.0,82814661551.0,135249691721.0,727290853562.0,207784761912.0,23151385938.0,-10579887493.0,-4601038289.0,71.50212462085486,-0.0,0.0,-0.0,-0.015832922977515193,-0.021776429004734785
APS홀딩스,2020,37547778577.0,237668741917.0,275216520494.0,30222692519.0,78446599401.0,108669291920.0,10895916500.0,686404455080.0,166547228574.0,25345952537.0,-10877059034.0,-46308607986.0,60.51498226743656,0.027320945861476695,0.08658449887793222,0.900643994948175,-0.16826245714784252,-0.24741998633820714
APS홀딩스,2020,37547778577.0,233799884892.0,271347663469.0,30222692519.0,77532199754.0,107754892273.0,135249691721.0,684203775494.0,163592771196.0,25345952537.0,-10877059034.0,-42302965786.0,60.28899202763527,-0.0,0.0,-0.0946893941257814,-0.155899502671903,-0.2562728891710873
APS홀딩스,2020,,,,,,,,,,,,,,,,,,
APS홀딩스,2021,100483770397.0,236608806949.0,337092577346.0,68972709797.0,80850593185.0,149823302982.0,135249691721.0,706071665180.0,187269274364.0,39415521257.0,-3963571695.0,23585855545.0,55.55425629315541,,,,0.06996848085679118,
AP시스템,2018,284424737407.0,136562205439.0,420986942846.0,291103024173.0,23468789384.0,314571813557.0,7640710500.0,38343620325.0,106415129289.0,714239792928.0,45752842099.0,25227011908.0,25.27753677337385,1.0866300652191971,0.9448147223841764,0.06505551941645359,0.059923501991434015,0.17179674231394823
AP시스템,2019,252429049428.0,168536825046.0,420965874474.0,286807571145.0,20035407010.0,306842978155.0,7640710500.0,45315933494.0,114122896319.0,462077778626.0,28427122553.0,9451469310.0,27.109773793801555,-0.6094784835748902,-0.5457133538249992,-1.6691100696173133,0.022451865776079074,0.08571283146245007
